# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Fullständig ändringslogg
report_policy_categoryTooltip_PrisonerTransfer	Legend
roomgrading_has_pa_system	[*X] Ljudanläggningssystem finns på avdelningen
buildtoolbar_popup_mat_Water	Skapa oframkomliga åar, bäckar, floder och andra vattendrag.
interfacecallout_AirSoldiers	Luftburna soldater
object_walkwaystairs	Gångtrappor (VIP)
buildtoolbar_popup_obj_walkwaystairs	Placera intill en upphöjd gångbana (murgång) så att vakter kan få åtkomst till gångbanor och patrullera från ovan.
buildtoolbar_popup_mat_PerimeterWall	Vattenledningar kan inte byggas undertill.
dlc_name_prisonWing	Klar för förflyttning
report_target_rewards	[Belöningar]
report_target_progress	[Pågår]
reform_program_and	och
objective_intake_closedriot	Intag inte tillgängligt under fängelsekravaller
reputation_swimmer_high	Simmare

# =============================================================================
# Uniform Colours
# =============================================================================

uniform_color_1	Grå
uniform_color_2	Orange
uniform_color_3	Röd
uniform_color_4	Gul
uniform_color_5	Rödbrun
uniform_color_6	Svart
uniform_color_7	Vit
uniform_color_9	Rosa
uniform_color_10	Brun
uniform_color_11	Grön
uniform_color_12	Blå
uniform_color_13	Himmelsblå
uniform_color_14	Laxrosa
uniform_color_15	Sammet
uniform_color_16	Lila
uniform_color_17	Limegrön
uniform_color_18	Chockrosa
uniform_color_19	Aqua
uniform_color_20	Metallgrå
uniform_color_21	Sandbrun
uniform_color_22	Vinröd
uniform_color_23	Smutsgrön
uniform_color_24	Giftgrön
uniform_color_25	Stormgrå
uniform_color_26	Violett
uniform_color_27	Smuts
uniform_color_28	Stål
uniform_color_29	Lila
uniform_color_30	Äggskal
uniform_color_31	Hav
object_TherapyAnimal	Terapidjur
object_TherapyAnimalContainer	Bur till terapidjur
object_AnimalTherapist	Djurterapeut
object_RestaurantCustomer	Civil kund
object_DisplayCounter	Visningsdisk
object_RehabilitatedPrisoner	Reformerad intern
object_Oven	Ugn
object_DoughMixer	Degblandare
object_Dough	Deg
object_BreadLoaf	Brödlimpa
object_BreadBun	Brödbulle
object_Cake	Mjuk kaka
object_Cupcake	Muffins
object_Baguette	Baguette
object_CivilianChild	Förbrytare
object_RestaurantMeal	Restaurangmåltid
object_RestaurantIngredientsCooking	Restaurangmåltid (tillagning)
object_RestaurantPlateDirty	Tallrik (smutsig)
object_CakeStand	Kakställ
object_GrassBridge	Grästäckt bro
object_DiningTableLarge	Kafeteriabord (stort)
object_DiningTableSmall	Kafeteriabord (litet)
object_DinerBooth	Kafeteriabås
object_DiningChair	Kafeteriastol
object_SaloonDoor	Saloondörrar (dubbla)
object_OrnateLantern	Prydnadslykta
object_Chandelier	Ljuskrona
object_WallPanel	Väggpanel (röd)
object_WallPanelWood	Väggpanel (trä)
object_WallPanelStone	Väggpanel (sten)
object_WallPanelCorner_A	Väggpanelhörn, typ A (röd)
object_WallPanelWoodCorner_A	Väggpanelhörn, typ A (trä)
object_WallPanelStoneCorner_A	Väggpanelhörn, typ A (sten)
object_WallPanelCorner_B	Väggpanelhörn, typ B (röd)
object_WallPanelWoodCorner_B	Väggpanelhörn, typ B (trä)
object_WallPanelStoneCorner_B	Väggpanelhörn, typ B (sten)
object_ShopCounter	Butiksdisk
object_NoEntrySign	Skylt (tillträde förbjudet)
object_GymSign	Skylt (gym)
object_PhoneSign	Skylt (telefon)
object_RestaurantSign	Skylt (restaurang)
object_BakerySign	Skylt (bageri)
object_VisitationSign	Skylt (besök)
object_BakeryRawProduct	Rå bageriprodukt
object_BakeryCookedProduct	Bakad bageriprodukt
object_Flour	Mjöl
buildtoolbar_popup_obj_DisplayCounter	En serveringsenhet som används för att förvara bakverk.
buildtoolbar_popup_obj_Oven	En särskild matlagningsenhet som används för bakning.
buildtoolbar_popup_obj_DoughMixer	Omvandlar mjöl (och andra dolda ingredienser) till degar för att baka.
buildtoolbar_popup_obj_CakeStand	En monter för skyltning av utsökta godsaker
buildtoolbar_popup_obj_GrassBridge	En grästäckt bro för att ta sig över vägar.
buildtoolbar_popup_obj_DiningTableLarge	Ett bord av hög kvalitet som ger varje måltid mer stil och klass.
buildtoolbar_popup_obj_DiningTableSmall	Ett bord av hög kvalitet som ger varje måltid mer stil och klass.
buildtoolbar_popup_obj_DinerBooth	Ett sittbås liknande det som finns på amerikanska fik.
buildtoolbar_popup_obj_DiningChair	En stol av hög kvalitet som ger varje måltid mer stil och klass.
buildtoolbar_popup_obj_SaloonDoor	Dubbla trädörrar som i en västernsaloon
buildtoolbar_popup_obj_OrnateLantern	En vägglykta av hög kvalitet som ger varje utrymme mer stil och klass.
buildtoolbar_popup_obj_Chandelier	En taklampa av hög kvalitet som ger varje utrymme mer stil och klass.
buildtoolbar_popup_obj_NoEntrySign	En väggskylt med en symbol för Tillträde förbjudet på.
buildtoolbar_popup_obj_GymSign	En väggskylt med en symbol för Gym på.
buildtoolbar_popup_obj_PhoneSign	En väggskylt med en symbol för Telefon på.
buildtoolbar_popup_obj_RestaurantSign	En väggskylt med en symbol för Restaurang på.
buildtoolbar_popup_obj_BakerySign	En väggskylt med en symbol för Bageri på.
buildtoolbar_popup_obj_VisitationSign	En väggskylt med en symbol för Besök på.
buildtoolbar_popup_obj_WallPanel	Korta, separata väggpaneler som används för att skapa separata områden utan att behöva ta bort rumsplattor.
buildtoolbar_popup_obj_WallPanelWood	Korta, separata väggpaneler som används för att skapa separata områden utan att behöva ta bort rumsplattor.
buildtoolbar_popup_obj_WallPanelStone	Korta, separata väggpaneler som används för att skapa separata områden utan att behöva ta bort rumsplattor.
buildtoolbar_popup_obj_WallPanelCorner_A	Separata kantdelar för väggpaneler som används för att skapa separata områden utan att behöva ta bort rumsplattor.
buildtoolbar_popup_obj_WallPanelWoodCorner_A	Separata kantdelar för väggpaneler som används för att skapa separata områden utan att behöva ta bort rumsplattor.
buildtoolbar_popup_obj_WallPanelStoneCorner_A	Separata kantdelar för väggpaneler som används för att skapa separata områden utan att behöva ta bort rumsplattor.
buildtoolbar_popup_obj_WallPanelCorner_B	Separata kantdelar för väggpaneler som används för att skapa separata områden utan att behöva ta bort rumsplattor.
buildtoolbar_popup_obj_WallPanelWoodCorner_B	Separata kantdelar för väggpaneler som används för att skapa separata områden utan att behöva ta bort rumsplattor.
buildtoolbar_popup_obj_WallPanelStoneCorner_B	Separata kantdelar för väggpaneler som används för att skapa separata områden utan att behöva ta bort rumsplattor.
buildtoolbar_popup_obj_ShopCounter	En försäljningsdisk som inte behöver någon vägg för att installera.
room_Restaurant	Restaurang
room_Bakery	Bageri
room_TherapyRoom	Möteslokal
d11_restaurant_work	Restaurang
d11_restaurant_work_desc	Placera interner i ett av fängelsets restauranger för att laga mat och servera civila kunder. För att arbeta där krävs stor erfarenhet av matlagning eller kundservice.
d11_bakery_work	Bageri
d11_bakery_work_desc	Placera interner i ett av fängelsets bagerier för att baka bageriprodukter till de civila kunderna. För att arbeta där krävs stor erfarenhet av matlagning eller kundservice.
buildtoolbar_popup_room_TherapyRoom	En ”trygg plats” för djurterapi och samtal med tidigare interner.
buildtoolbar_popup_room_Restaurant	Interner med erfarenhet av matlagning eller kundservice kan laga och servera mat till civila kunder.
buildtoolbar_popup_room_Bakery	Interner med erfarenhet av matlagning eller kundservice kan baka bröd eller kakor för att sälja till civila kunder.
quickbuild_Therapy	Möteslokal
quickbuild_Restaurant	Restaurang
quickbuild_Bakery	Bageri
quickbuild_Reception	Reception
reformprogram_AnimalTherapy	Djurterapi
reformprogram_AnimalTherapy_text	Många interner kämpar med att kontrollera sitt humör eller sina negativa tankar. Genom dessa lektioner, och de band som formas genom dem, hoppas internerna lära sig att behålla lugnet och trappa ner en situation innan den urartar i våld.
reformProgram_ConflictResolution	Konfliktlösning
reformProgram_ReformedPrisonerConsultation	Samtal med reformerade interner
reformProgram_ReformedPrisonerConsultation_text	Syftet med det här programmet är att förändra internernas nuvarande sätt att tänka genom att en före detta, numera reformerad intern kommer till fängelset för att tala om sina erfarenheter och nya liv.
reformProgram_juvenilecorrection	Program för tredjegångsförbrytare
reformProgram_juvenilecorrection_text	Rollspel mellan interner och civila som spelar “förbrytare” har sannolikt en positiv effekt på båda grupperna, så länge internerna har fått utbildning eller har rätt nivå av kundserviceerfarenhet för att kunna samspela med de civila “förbrytarna”.
reformProgram_socialtraining	Utbildning av tredjegångsförbrytare
reformProgram_socialtraining_text	Att tillåta interner att vara i kontakt med civila som de inte känner kan kännas otryggt för många. Det här programmet lär därför deltagarna vilka handlingar som är okej och vad man inte får göra, samtidigt som de medverkande internerna får ökade kundservicepoäng.
reformProgram_RehabilitatedPrisoner_text	De här före detta internerna har reformerats och är idag mönstermedborgare. På sidan om sina vanliga jobb har de valt att jobba som fängelsekonsulter på sin lediga tid för att hjälpa andra som kämpar för att anpassa sig till samhällets krav.
reformProgram_Occupation	Arbetsplats:
report_Sentences	Straffreglering
sentences_tooltip_onOff	Växla till det här alternativet för att aktivera eller avaktivera straffreglering med PÅ/AV-knappen.
sentences_tooltip_resetCriteria	Återställ regleringskriterierna till de rekommenderade värdena för ditt fängelse.
sentences_tooltip_extensionValue	Välj den tidsperiod som internernas straff kommer att förlängas med efter att de har uppfyllt kriteriet.
sentences_tooltip_reductionValue	Välj den tidsperiod som internernas straff kommer att kortas med efter att de har uppfyllt kriteriet.
sentences_description	Ställ in kriterierna för att reglera en interns strafflängd, oavsett om den förkortas p.g.a. gott uppförande eller förlängs till följd av dåligt uppförande.\nFörlängningar och förkortningar av straff kan ske samma vecka, men vid båda typerna av straffregleringar krävs en 7 dagar lång avspänningstid.
sentences_unavailable	Inte tillämpligt
reduction_caption	Avkortningsvärde
extension_caption	Förlängningsvärde
adjustment_criteria	Anpassningskriterier
goodBehaviour_DaysInLabour	Antal arbetsdagar
goodBehaviour_LoweredRate	Sänkt återfallsgrad
sentences_resetCriteria	Återställ kriterium
misconduct_tooltip_InjuredStaff	Interner kvalificerar sig för förlängd strafftid om de har angripit personal det angivna antalet gånger.
misconduct_tooltip_InjuredPrisoner	Interner kvalificerar sig för förlängd strafftid om de har angripit andra interner det angivna antalet gånger.
misconduct_tooltip_SeriousInjury	Interner kvalificerar sig för förlängd strafftid om de har orsakat andra allvarlig fysisk skada det angivna antalet gånger.
misconduct_tooltip_Murder	Interner kvalificerar sig för förlängd strafftid om de har begått mord i fängelset det angivna antalet gånger.
misconduct_tooltip_EscapeAttempt	Interner kvalificerar sig för förlängd strafftid om de har försökt rymma det angivna antalet gånger.
goodBehaviour_tooltip_NoIncident	Interner kvalificerar sig för avkortad strafftid om de inte har varit involverade i några rapporterade incidenter under det angivna antalet dagar.
goodBehaviour_tooltip_ProgramsPassed	Interner kvalificerar sig för avkortad strafftid om de har genomfört ett angivet antal program.
goodBehaviour_tooltip_DaysInLabour	Interner kvalificerar sig för avkortad strafftid om de deltagit i fängelsearbete under ett visst antal dagar i följd.
goodBehaviour_tooltip_LoweredRate	Interner kvalificerar sig för avkortad strafftid om deras återfallsgrad har sänkts med en viss andel.
sentences_tooltip_criteriaMet	Reglera det här värdet för att bestämma vilka kriterier en intern måste uppfylla för att få sitt straff ändrat.
work_and_education	Arbete och utbildning
d11_work_experience	Arbetslivserfarenhet
experience_WorkCook	Erfarenhet av matlagning
experience_WorkCleaner	Erfarenhet av städning
experience_WorkCraftsman	Erfarenhet av hantverk
experience_WorkLabourer	Erfarenhet av kroppsarbete
experience_WorkRCS	Erfarenhet av kundservice
experience_WorkReform	Att slutföra det här programmet ökar internens arbetslivserfarenhet med 50 % för det här *X fältet.
experience_WorkCook_desc	Interner med 50 % erfarenhet inom det här området kan arbeta direkt i kök, restauranger eller bagerier. En högre erfarenhet höjer även deras effektivitet inom närliggande jobb.
experience_WorkCleaner_desc	Interner som får erfarenhet inom det här området kommer att bli mer effektiva vid utförandet av städrelaterade jobb.
experience_WorkCraftsman_desc	Interner med 50 % erfarenhet inom det här området kan arbeta direkt i verkstaden. Högre erfarenhet höjer även deras effektivitet.
experience_WorkLabourer_desc	Interner som får erfarenhet inom det här området blir mer effektiva vid utförandet av kroppsarbeten.
experience_WorkRCS_desc	Interner med 50 % erfarenhet inom det här området kan delta direkt i program för tredjegångsförbrytare och servicejobb. Högre erfarenhet höjer även deras effektivitet inom jobb kopplade till kundservice.
d11_cleaner	Städare
d11_craftsman	Hantverkare
d11_labourer	Arbetare
d11_RACS	Kundservice
experiencefactor_FactorWorkExperience	Har *X% arbetserfarenhet över kompetensområdena
d11_reform_average_reoffending_rate_x_days	Genomsnittlig återfallsgrad i % (-*X dagar)
d11_reform_average_punishment_grade	Genomsnittligt straffnivå
d11_reform_average_health_grade	Genomsnittligt hälsonivå
d11_reform_average_security_grade	Genomsnittligt säkerhetsnivå
d11_reform_average_exp_grade	Genomsnittlig arbetserfarenhetsnivå
d11_reform_average_reform_grade	Genomsnittligt reformeringsnivå
d11_reform_progrom_live	Pågående reformeringsprogram
d11_reform_program_places	Reformeringsprogramplatser
d11_reform_program_attendance	Reformeringsprogramnärvaro
d11_reform_program_pass_rate	Andel godkända i reformeringsprogram
d11_reform_released_prisoners_design_info	När en intern har frigivits från ditt fängelse kommer du att bli underrättad om vad de gör sedan, dvs. om de begår nya brott eller reformeras och hittar ett jobb. Ditt fängelse kommer sedan att belönas eller bötfällas beroende på utgången.
d11_reform_prisoners_action_reformed	REFORMERAD!
d11_reform_prisoners_action_reoffended	ÅTERFALLEN!
d11_reform_prisoners_action_reoffended_returned	*X skickades tillbaka till ditt fängelse.
d11_reform_prisoners_outcome_reformed	De fick jobb i stadens *X.
d11_reform_prisoners_outcome_reoffended	De greps och kommer att skickas tillbaka i fängelse.
d11_reform_prisoners_outcome_reoffended_returned	Var försiktig, då interner blir farligare vid utökade inskränkningar.
d11_reform_reformed_prisoner_rewards	Reformerade interners belöningar (igår)
d11_reform_reformed_reoffending_prisoner_fines	Reformerade interners böter (igår)
d11_reform_reoffending_stats_title	Statistik för återfall i %
d11_reform_initial_reoffending_chance	Första återfallsgrad i %:
d11_reform_current_reoffending_chance	Genomsnittlig återfallsgrad i %:
d11_reform_reoffending_chance_delta	Förändring av återfallsgrad i %:
d11_reform_job_outcome_cook	Restaurang
d11_reform_job_outcome_cleaner	Städfirma
d11_reform_job_outcome_craftsman	Fabrik
d11_reform_job_outcome_labourer	Byggföretag
d11_reform_job_outcome_RAC	Shoppinggalleria
d11_reform_job_outcome_default	Postkontor
d11_reform_required_reoffending_rate_title	Avbrott för villkorlig frigivning i %
