# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Tüm Değişiklikler
d11_staffalert_urgentsummary_CONTRABAND01	Hapishanedeki alet ve silahların erişilebilirliği tehlikeli düzeyde!
d11_staffalert_urgentsummary_NEEDS04	Bırak o kurabiyeyi! Mahkumlarımız açlıktan ölüyor!
d11_staffalert_urgentsummary_NEEDS03	Hey! Uyan! Mahkumlarının uykuya ihtiyacı var!
d11_staffalert_urgentsummary_NEEDS01	Ciddiyim! Şaka değil. Daha çok tuvalet inşa et!
d11_staffalert_urgentsummary_NEEDS02	Ciddiyim! Şaka değil. Daha çok tuvalet inşa et!
d11_staffalert_urgentsummary_NEEDS08	Öğğ, mahkumlarımız pislik içinde.
d11_staffalert_urgentsummary_OBJECTS04	Verimliliği arttırıp bir Kapı Kontrol Sistemi yerleştirmemizin zamanı geldi!
d11_staffalert_urgentsummary_ROOMS01	Odalarından bazıları hâlâ geçersiz!
d11_staffalert_urgentsummary_INFORMANTS01	Muhbirlerimizden biri yakalanmak üzere, hayatı tehlikede!
d11_staffalert_urgentsummary_HOLDINGCELL01	Nezarethanelerimizdeki mahkumların sayısını azaltmalıyız!
d11_staffalert_urgentsummary_NEEDS06	Öğkk! Hapishanemiz iğrenç!
d11_staffalert_urgentsummary_NEEDS14	Aman tanrım! Hapishanemiz pejmürdelerle dolu!
d11_staffalert_urgentsummary_NEEDS13	Onlar robot değil biliyorsun. Devam edebilmek için Serbest Zamana ihtiyaçları var!
d11_staffalert_urgentsummary_NEEDS09	Ah olamaz, mahkumlarımız çok sağlıksız.
d11_staffalert_urgentsummary_NEEDS10	Mahkumlarımız sıkıntıdan kafayı yiyecek!
d11_staffalert_urgentsummary_NEEDS11	Hadi ama, sadece oturacak yer istiyorlar.
d11_staffalert_urgentsummary_POWER01	Hapishanenin bazı alanlarında hâlâ elektrik yok!
d11_staffalert_urgentsummary_WATER01	Hapishanenin bazı alanlarında hâlâ su yok!
d11_staffalert_urgentsummary_CELLS01	Daha çok mahkum alacak bol bol yerimiz var!
d11_staffalert_urgentsummary_OBJECTS03	Mutlaka daha çok CCTV kamerası yerleştirmeliyiz!
d11_staffalert_urgentsummary_OBJECTS01	Yangın çıkarsa ciddi bir risk altındayız!
d11_staffalert_urgentsummary_POWER02	Elektrik Santralin ciddi derecede aşırı yüklendi!
d11_staffalert_urgentsummary_DEATHROW01	Hapishanemize Ölüm Hücresi eklersek hızlıca bol para kazanabiliriz.
d11_staffalert_urgentsummary_STAFF01	Personelin yorgun, onlara yardım etmelisin!
d11_staffalert_urgentsummary_NEEDS12	Mahkumlarımız öfkeleniyor. Öfkelenirlerse hiç hoş olmaz.
d11_staffalert_urgentsummary_NEEDS19	Okuma bilmeyen mahkumlar için bir oda yapmalıyız.
d11_staffalert_urgentsummary_NEEDS05	Kalpsiz olma... mahkumlarımızın aileleriyle iletişim kurmasına izin vermelisin!
d11_staffalert_urgentsummary_NEEDS07	Mahkumlarımız burada kendilerini güvende hissetmiyor. Lütfen bir şey yap.
d11_staffalert_urgentsummary_NEEDS15	Çok fazla sayıda mahkumumuz uyuşturucu bağımlısı. Bir şey yapmalıyız!
d11_staffalert_urgentsummary_NEEDS16	Mahkumlarımızın ciddi bir alkol sorunu var!
d11_staffalert_urgentsummary_NEEDS18	Mahkumlarımız Ruhani Rehberlik talep ediyor.
d11_staffalert_urgentsummary_PRISONERS03	Hücrelerimizin genel kalitesinin olabildiğince çabuk arttırılması gerekiyor!
d11_staffalert_urgentsummary_DOCTOR01	Revirimizde çalışacak doktorlar işe almalıyız.
d11_staffalert_urgentsummary_OBJECTS02	Mutlaka daha çok çöp kutusu almalıyız!
d11_ingredients_crops_per_day_tooltip	Son 24 saatte satın alınmış ekin sayısı.
buildtoolbar_popup_mat_grasscornerfloor	Topraklı, köşe bir çimenlik. Dik açılı yollar yapmak için ideal.
buildtoolbar_popup_mat_grasscornerfloor1	Topraklı, köşe bir çimenlik. Dik açılı yollar yapmak için ideal.
buildtoolbar_popup_mat_grasscornerfloor2	Topraklı, köşe bir çimenlik. Dik açılı yollar yapmak için ideal.
buildtoolbar_popup_mat_grasscornerfloor3	Topraklı, köşe bir çimenlik. Dik açılı yollar yapmak için ideal.
buildtoolbar_Logistics_CropDistribution	Hasat edilen ekinlerin hangi odalara taşındığını kontrol et. Ayrıca Dağıtımı Yönet penceresinden dağıtım yüzdelerini değiştirebilirsin.
d11_hover_alert_water	Su Gerektirir
d11_hover_alert_electricity	Elektrik Gerektirir
interfacemode_objectPack_filter_caption	Gösterilen nesne sayısını ilişkili olduğu genişleme paketine göre filtreler.
interfacemode_objectType_filter_caption	Gösterilen nesne sayısını nesnelerin tipine göre filtreler.
d11_powerstation_overloaded_two_stations	Aşırı yüklü Elektrik Santralleri birbirlerine bağlanmamalıdır
buildtoolbar_deployment_PrioritizeFarmer	Atadığın Çiftçilerin, hapishanenin belirli alanlarında çalışmaya öncelik vermesi için bu seçeneği kullan. Personelin yetersizse, Çiftçiler ilk olarak öncelik verdiğin alanlarda çalışacaktır. Bir alanı önceliklendirmek için oraya 1, 2 ya da 3 Çiftçi ata.
interfacetopbar_tooltip_totalFarmers	*X toplam çiftçi
interfacetopbar_tooltip_farmer	Hapishanende çalışmak için hazır kaç tane çiftçi olduğu.
interface_action_searchRoom	Arama Odası
d11_staffalert_details_CELLS01	*A adet daha mahkum alabiliriz.
d11_staffalert_details_CELLS01Z	*A adet boş *B hücremiz var.
mutator_name_Noir	Noir
mutator_tooltip_Noir	Karanlık, kirli ve hapishanendeki renklerin çoğunu alıp götüren bir filtre.
mutator_name_RoofView	Çatı Görünümü
mutator_tooltip_RoofView	Savaş sisine benzer bir efekt uygular ama düşük görünürlük olan alanlarda "sis" yerine binaların çatılarını gösterir.
job_group_hovering_expand	Benzer iş tiplerini genişletmek için tıkla
job_group_hovering_collapse	Benzer iş tiplerini daraltmak için tıkla
object_farmer	Çiftçi
object_OrganicWaste	Organik Atık
object_CompostBin	Bitkisel Gübre Kutusu
object_DumpObject	Nesneyi At
buildtoolbar_popup_room_Pantry	Yeni topladığın tüm meyveleri ve sebzeleri depolayabileceğin bir oda. Oda, hapishanede yetişen malzemeleri taze tutmak için soğutmalı.
buildtoolbar_popup_obj_Shed	Tüm tohumlarını, aletlerini ve diğer tarım eşyalarını koyabileceğin bir alan. Temel sulama için su musluğu da var.
buildtoolbar_popup_obj_AdvancedAutoGatherer	6 saatte bir devreye girerek 10x10'luk bir alandaki tüm malzemeleri toplayıp depolar.
buildtoolbar_popup_obj_CompostBin	Yiyecekleri ve organik atıkları yararlı gübreye dönüştürmek için kullanlır.
buildtoolbar_popup_obj_BowtieBandit	Pek şık bir bey.
buildtoolbar_popup_obj_Shepherd	HANİMİŞ BENİM AKILLI KIZIMA?
buildtoolbar_popup_obj_DumpObject	Hapishanendeki nesneleri at.
dlc_name_greenMachine	Yeşille Dost
interfacemode_objectType_filter_all	Nesne Paketi: Her Tür
interfacemode_objectType_filter_requiresWater	Sıhhi Tesisat
interfacemode_objectType_filter_requiresElectricity	Elektronik
interfacemode_objectType_filter_entertainment	Eğlence
interfacemode_objectType_filter_decoration	Dekorasyon
interfacemode_objectType_filter_foliage	Bitkiler
interfacemode_objectType_filter_security	Güvenlik
interfacemode_objectType_filter_catering	Yemek Servisi
interfacemode_objectType_filter_misc	Diğer
contraband_Kicker	Alkollendirici
Ingredients_UsageCaption	Oran
interface_title_targets	Çevreci Enerji Hedefleri
objectiveWindow_FilterButton_0_title	Görevler
objectiveWindow_FilterButton_0_tooltip	Devam Eden Görevler
objectiveWindow_FilterButton_1_tooltip	Going Green'in ana özelliklerini anlatıp açıklayan çeşitli bilgiler.
escapemode_info_board	Vapura Bin
reports_ingredients_usageTitle	Taze/İthal Malzeme Kullanım Oranı
interfacemode_objectType_filter_rest	İstirahat
interfacemode_objectType_filter_exercise	Egzersiz
report_policy_categoryTooltip_PrisonerTransfer	EFSANEVİ
roomgrading_has_pa_system	[*X] hücre blokunda anons sistemine sahip
buildtoolbar_popup_mat_Water	Akıntılar, nehirler ve diğer geçilemeyen sulak alanlar oluştur.
object_walkwaystairs	yürüyüş Yolu Merdivenleri (yapılıyor)
buildtoolbar_popup_obj_walkwaystairs	Gardiyanların yürüyüş yollarına erişip tepede devriye gezebilmesi için yüksek bir Yürüyüş Yolu'nun (Duvar Yürüyüş Yolu) yanına yerleştir.
object_PinkFlamingo	Pembe Flamingo
object_HayBale	Saman Balyası
object_FlowerPlanterWateringCan	Çiçek Saksısı (sulama kabı)
object_FlowerPlanterWellies	Çiçek Saksısı (lastik çizme)
object_FlowerPlanterWheelbarrow	Çiçek Saksısı (el arabası)
object_SmallServingTable	Servis Masası (küçük)
object_TrayDispenser	Tepsi Taşıyıcı
object_SolarWallLight	Işık (Güneş Enerjili)
buildtoolbar_popup_mat_PerimeterWall	Altına Su Borusu döşenemez
buildtoolbar_popup_obj_HayBale	BURASI ÇİFTLİK diye bağırıyor adeta.
buildtoolbar_popup_obj_FlowerPlanterWateringCan	Artık içine çiçek ekilen, basit bir kap.
buildtoolbar_popup_obj_FlowerPlanterWellies	Artık içine çiçek ekilen eski lastik çizmeler.
buildtoolbar_popup_obj_FlowerPlanterWheelbarrow	Dış mekanların için renkli bir aksesuar.
buildtoolbar_popup_obj_SmallServingTable	Mahkumlarına yemek servisi yap.
buildtoolbar_popup_obj_TrayDispenser	Fazladan yemek tepsilerini koymak için. Maksimum kapasitesi 200 tepsi.
buildtoolbar_popup_obj_SolarWallLight	Duvarlara takılıp geceleri otomatik olarak açılabilen, güneş enerjili bir ışık.
dlc_name_psychWard	Psych Ward
dlc_name_prisonWing	Transfer İzni
d11_farm_search_freq_option_never	Asla
report_target_rewards	[Ödüller]
report_target_progress	[İlerleme]
objective_HelpEnvironmentallyFriendly	Çevre Dostu
codex_options_staffalertscaption	Personel Uyarıları
reform_program_and	ve
object_OxStatue	Öküz Heykeli
object_PaperDragonHead	Ejderha Başı
object_PaperDragonBody	Ejderha Gövdesi
object_PaperDragonTail	Ejderha Kuyruğu
object_PaperLantern	Kağıt Fener
object_CoupletBanner	Beyit Yazılı Flama
object_FoodTrayPack	Yiyecek Tepsisi (Paket)
buildtoolbar_popup_obj_OxStatue	Güçlü öküz burcunu temsil eden bir heykel
buildtoolbar_popup_obj_PaperDragonHead	Ejderha başı şeklinde bir kağıt süs
buildtoolbar_popup_obj_PaperDragonBody	Ejderha gövdesi şeklinde bir kağıt süs
buildtoolbar_popup_obj_PaperDragonTail	Ejderha kuyruğu şeklinde bir kağıt süs
buildtoolbar_popup_obj_PaperLantern	Hapishanenize ışık getirecek dekoratif bir kırmızı fener
buildtoolbar_popup_obj_CoupletBanner	Üstünde Çince beyitler yazan dekoratif bir flama
buildtoolbar_popup_obj_FoodTrayPack	40 yemek tepsisinden oluşan paket. - Almak için çift tıkla/basılı tut.
objective_intake_closedriot	Hapishane isyanı esnasında mahkum alımı mümkün değil
d11_staffalert_summary_BasicFarming03	Meyve ağaçları diğer ekinlerin aksine sürekli meyve verir ve böylece her hasattan sonra tekrar dikilmelerine gerek kalmaz.
reputation_swimmer_high	Yüzücü
object_TherapyAnimal	Terapi Hayvanı
object_TherapyAnimalContainer	Terapi Hayvanı Kutusu
object_AnimalTherapist	Hayvan Terapisti
object_RestaurantCustomer	Sivil Müşteri
object_DisplayCounter	Vitrinli Tezgah
object_RehabilitatedPrisoner	Islah Olmuş Mahkum
object_Oven	Fırın
object_DoughMixer	Hamur Yoğurucu
object_Dough	Hamur
object_BreadLoaf	Somun Ekmek
object_BreadBun	Sandviç Ekmeği
object_Cake	Pasta
object_Cupcake	Topkek
object_Baguette	Fransız Bageti
object_CivilianChild	Suça Yatkın
object_RestaurantMeal	Restoran Yemeği
object_RestaurantIngredientsCooking	Restoran Yemeği (Yemek Pişirme)
object_RestaurantPlateDirty	Tabak (Kirli)
object_CakeStand	Pasta Standı
object_GrassBridge	Çim Yol Köprüsü
object_DiningTableLarge	Yemek Masası (Büyük)
object_DiningTableSmall	Yemek Masası (Küçük)
object_DinerBooth	Restoran Bölmesi
object_DiningChair	Yemek Masası Sandalyesi
object_SaloonDoor	Vahşi Batı Kapısı (İkili)
object_OrnateLantern	Süslü Fener
object_Chandelier	Avize
object_WallPanel	Duvar Paneli (Kırmızı)
object_WallPanelWood	Duvar Paneli (Ahşap)
object_WallPanelStone	Duvar Paneli (Taş)
object_WallPanelCorner_A	Köşe Duvar Paneli Tip A (Kırmızı)
object_WallPanelWoodCorner_A	Köşe Duvar Paneli Tip A (Ahşap)
object_WallPanelStoneCorner_A	Köşe Duvar Paneli Tip A (Taş)
object_WallPanelCorner_B	Köşe Duvar Paneli Tip B (Kırmızı)
object_WallPanelWoodCorner_B	Köşe Duvar Paneli Tip B (Ahşap)
object_WallPanelStoneCorner_B	Köşe Duvar Paneli Tip B (Taş)
object_ShopCounter	Mağaza Tezgahı
object_NoEntrySign	Tabela (Girilmez)
object_GymSign	Tabela (Spor Salonu)
object_PhoneSign	Tabela (Telefon)
object_RestaurantSign	Tabela (Restoran)
object_BakerySign	Tabela (Fırın)
object_VisitationSign	Tabela (Görüş)
object_BakeryRawProduct	Çiğ Fırın Ürünü
object_BakeryCookedProduct	Pişmiş Fırın Ürünü
object_Flour	Un
buildtoolbar_popup_obj_DisplayCounter	Hamur işlerinin konduğu bir servis birimi.
buildtoolbar_popup_obj_Oven	Hamur işi pişirmekte kullanılan özel bir pişirme birimi.
buildtoolbar_popup_obj_DoughMixer	Unu (ve diğer gizli malzemeleri) hamur işi yapımı için hamura dönüştürür.
buildtoolbar_popup_obj_CakeStand	Leziz tatlıların sergilenebileceği bir stand.
buildtoolbar_popup_obj_GrassBridge	Yolların üzerinden güvenle geçilmesini sağlayan, çim kaplı bir köprü.
buildtoolbar_popup_obj_DiningTableLarge	Her yemeğe klas katacak, kaliteli bir masa.
buildtoolbar_popup_obj_DiningTableSmall	Her yemeğe klas katacak, kaliteli bir masa.
buildtoolbar_popup_obj_DinerBooth	Amerikan "diner" restoranlarının klasik tarzında bir oturma bölmesi.
buildtoolbar_popup_obj_DiningChair	Her yemeğe klas katacak, kaliteli bir sandalye.
buildtoolbar_popup_obj_SaloonDoor	Vahşi Batı barı tarzında iki kanatlı ahşap kapı.
buildtoolbar_popup_obj_OrnateLantern	Her alana klas katacak, kaliteli bir duvar aydınlatması.
buildtoolbar_popup_obj_Chandelier	Her alana klas katacak, kaliteli bir tavan aydınlatması.
buildtoolbar_popup_obj_NoEntrySign	Üzerinde Girilmez simgesi olan bir duvar tabelası.
buildtoolbar_popup_obj_GymSign	Üzerinde spor salonu simgesi olan bir duvar tabelası.
buildtoolbar_popup_obj_PhoneSign	Üzerinde telefon simgesi olan bir duvar tabelası.
buildtoolbar_popup_obj_RestaurantSign	Üzerinde restoran simgesi olan bir duvar tabelası.
buildtoolbar_popup_obj_BakerySign	Üzerinde fırın simgesi olan bir duvar tabelası.
buildtoolbar_popup_obj_VisitationSign	Üzerinde Görüş simgesi olan bir duvar tabelası.
buildtoolbar_popup_obj_WallPanel	Oda karelerini silmeden bölünmüş alanlar oluşturmaya yarayan, kısa, tekli duvar panelleri.
buildtoolbar_popup_obj_WallPanelWood	Oda karelerini silmeden bölünmüş alanlar oluşturmaya yarayan, kısa, tekli duvar panelleri.
buildtoolbar_popup_obj_WallPanelStone	Oda karelerini silmeden bölünmüş alanlar oluşturmaya yarayan, kısa, tekli duvar panelleri.
buildtoolbar_popup_obj_WallPanelCorner_A	Oda karelerini silmeden bölünmüş alanlar oluşturmaya yarayan, tekli köşe duvar panelleri.
buildtoolbar_popup_obj_WallPanelWoodCorner_A	Oda karelerini silmeden bölünmüş alanlar oluşturmaya yarayan, tekli köşe duvar panelleri.
buildtoolbar_popup_obj_WallPanelStoneCorner_A	Oda karelerini silmeden bölünmüş alanlar oluşturmaya yarayan, tekli köşe duvar panelleri.
buildtoolbar_popup_obj_WallPanelCorner_B	Oda karelerini silmeden bölünmüş alanlar oluşturmaya yarayan, tekli köşe duvar panelleri.
buildtoolbar_popup_obj_WallPanelWoodCorner_B	Oda karelerini silmeden bölünmüş alanlar oluşturmaya yarayan, tekli köşe duvar panelleri.
buildtoolbar_popup_obj_WallPanelStoneCorner_B	Oda karelerini silmeden bölünmüş alanlar oluşturmaya yarayan, tekli köşe duvar panelleri.
buildtoolbar_popup_obj_ShopCounter	Ticari işlemler için bir gişe. Kullanmak için duvar konmasına gerek yoktur.
room_Restaurant	Restoran
room_Bakery	Fırın
room_TherapyRoom	Toplantı Odası
d11_restaurant_work	Restoran
d11_restaurant_work_desc	Mahkumları restoranlarımızdan birinde yemek pişirmeye ve sivil müşterilere servis yapmaya ata. Ancak yemek pişirmede ya da müşteriye hizmette önceden tecrübeleri olmalıdır.
d11_bakery_work	Fırın
d11_bakery_work_desc	Mahkumları fırınlarımızdan birinde sivil müşteriler için hamur işleri pişirmeye ata. Ancak yemek pişirmede ya da müşteriye hizmette önceden tecrübeleri olmalıdır.
buildtoolbar_popup_room_TherapyRoom	Hayvanlı Terapi seanslarının ve eski mahkumlarla yapılacak sohbetlerin gerçekleşmesi için ayrılmış "güvenli alan"
buildtoolbar_popup_room_Restaurant	Yemek pişirmede ya da hizmet sektöründe tecrübesi olan mahkumlar, hazırladıkları yemekleri sivil müşterilere servis edebilir.
buildtoolbar_popup_room_Bakery	Yemek pişirmede ya da hizmet sektöründe deneyimi olan mahkumlar, sivil müşterilere satmak için ekmek ve pasta pişirebilir.
quickbuild_Therapy	Toplantı Odası
quickbuild_Restaurant	Restoran
quickbuild_Bakery	Fırın
quickbuild_Reception	Resepsiyon
reformprogram_AnimalTherapy	Hayvanlı Terapi
reformprogram_AnimalTherapy_text	Mahkumlar öfkelerini ya da diğer olumsuz duygularını kontrol etmekte sık sık zorlanabilirler. Mahkumların bu seanslar ve seans sırasında kurulan bağlar sayesinde sakin kalmayı ve içinde bulundukları durumlar şiddete dönüşmeden gerilimi azaltmayı öğrenmesi umulmakta.
reformProgram_ConflictResolution	Anlaşmazlık Çözümleme
reformProgram_ReformedPrisonerConsultation	Islah Olmuş Mahkum Danışmanlığı
reformProgram_ReformedPrisonerConsultation_text	Bu programın amacı, ıslah olmuş eski bir mahkuma deneyimlerini ve yeni yaşamını anlattırarak o sırada hapis yatmakta olan mahkumların bakış açısını değiştirmektir.
reformProgram_juvenilecorrection	Üçüncü Suç Programı
reformProgram_juvenilecorrection_text	Mahkumlarla "suça yatkın" sivillerin görüşmesine izin vermenin iki taraf üzerinde de olumlu etkisi olduğu düşünülür. Ama mahkumların bu "suça yatkın" sivillerle konuşmak için ya eğitim alması ya da doğru Müşteriye Hizmet tecrübesi düzeyine sahip olması gerekir.
reformProgram_socialtraining	Üçüncü Suç Eğitimi
reformProgram_socialtraining_text	Mahkumların onlarla hiçbir ilişkisi olmayan sivillerle etkileşime girmesine izin vermek çok kişide endişe yaratabilir. Bu nedenle bu program hangi eylemlerin yapılabilir olmadığını öğretirken bir yandan da mahkumun Müşteriye Hizmet tecrübesini arttırır.
reformProgram_RehabilitatedPrisoner_text	Bu eski mahkum ıslah olup örnek bir vatandaşa dönüşmüş ve şu andaki mesleğinin yanında, ıslah olmakta zorlananlara yardım etmek için hapishane danışmanlığı görevini üstlenmiş.
reformProgram_Occupation	İş Yeri:
report_Sentences	Ceza Ayarlamaları
sentences_tooltip_onOff	Ceza ayarlamalarını açmak-kapamak için bu seçeneği aç-kapa.
sentences_tooltip_resetCriteria	Ayarlama kriterlerini hapishane için önerilen değerlere sıfırla.
sentences_tooltip_extensionValue	Gereken kriterleri yerine getiren bir mahkummun cezasının uzatılma miktarını seç.
sentences_tooltip_reductionValue	Gereken kriterleri yerine getiren bir mahkummun cezasının kısaltılma miktarını seç.
sentences_description	Bir mahkumun cezasının iyi davranışlar için azaltılma ya da kötü davranışlar için arttırılma kriterlerini belirle.\nCeza uzamaları ve kısalmaları aynı hafta yapılabilir ama ikisinin de 7 gün bekleme süresi vardır.
