# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Journal intégral des changements
experience_WorkLabourer_desc	Les détenus qui acquièrent une expérience dans ce domaine augmenteront leur efficacité dans les emplois de travail manuel.
experience_WorkRCS_desc	Les détenus qui ont 50 % d'expérience dans ce domaine peuvent directement participer au programme Troisième faute et aux emplois de service. Une expérience supplémentaire augmente également leur efficacité dans les emplois liés au service à la clientèle.
d11_cleaner	Préposé au nettoyage
d11_craftsman	Artisan
d11_labourer	Ouvrier
d11_RACS	Service à la clientèle
experiencefactor_FactorWorkExperience	Possède *X % d'expérience professionnelle sur toutes les expertises
d11_reform_average_reoffending_rate_x_days	Pourcentage moyen de récidive (-*X jours)
d11_reform_average_punishment_grade	Note moyenne de punition
d11_reform_average_health_grade	Note moyenne de santé
d11_reform_average_security_grade	Note moyenne de sécurité
d11_reform_average_exp_grade	Note moyenne d'expérience professionnelle
d11_reform_average_reform_grade	Note moyenne de réhabilitation
d11_reform_progrom_live	Programmes de réhabilitation actifs
d11_reform_program_places	Places disponibles pour les programmes de réhabilitation
d11_reform_program_attendance	Présence aux programmes de réhabilitation
d11_reform_program_pass_rate	Taux de réussite des programmes de réhabilitation
d11_reform_released_prisoners_design_info	Une fois qu'un détenu a été libéré de votre prison, vous serez informé de ses actions ultérieures, selon qu'il a récidivé ou s'est réhabilité et a trouvé du travail. Votre prison recevra respectivement une amende ou une récompense.
d11_reform_prisoners_action_reformed	RÉHABILITÉ !
d11_reform_prisoners_action_reoffended	RÉCIDIVE !
d11_reform_prisoners_action_reoffended_returned	*X a été renvoyé à votre prison.
d11_reform_prisoners_outcome_reformed	A trouvé du travail comme *X en ville.
d11_reform_prisoners_outcome_reoffended	A été arrêté et retournera en prison.
d11_reform_prisoners_outcome_reoffended_returned	Soyez prudent car les détenus deviennent plus dangereux quand leur temps de détention augmente.
d11_reform_reformed_prisoner_rewards	Récompenses Détenu réhabilité (Hier)
d11_reform_reformed_reoffending_prisoner_fines	Amendes de Récidive (Hier)
d11_reform_reoffending_stats_title	Statistiques % de récidive
d11_reform_initial_reoffending_chance	% Récidive initial :
d11_reform_current_reoffending_chance	% Récidive actuelle :
d11_reform_reoffending_chance_delta	Changement % de récidive :
d11_reform_job_outcome_cook	Restaurant
d11_reform_job_outcome_cleaner	Agence de nettoyage
d11_reform_job_outcome_craftsman	Usine
d11_reform_job_outcome_labourer	Entreprise de construction
d11_reform_job_outcome_RAC	Centre commercial
d11_reform_job_outcome_default	Bureau de poste
d11_reform_required_reoffending_rate_title	% Délai de libération conditionnelle
d11_reform_no_prisoners_found	Aucun prisonnier trouvé !
d11_all_prisoner_wages	Tous les Salaires des prisonniers
d11_report_policy_wage_hint	Des salaires plus élevés motivent les détenus à participer au travail en prison et aux programmes liés au travail.
d11_wage	Salaire
d11_adjust_wage_description	Les détenus reçoivent un salaire pour leur participation aux travaux effectués dans la prison. Les salaires peuvent être ajustés individuellement ou globalement pour chaque type de travail. Comme les emplois varient en fonction de la formation requise, il est possible d'augmenter le salaire horaire des détenus qui occupent des postes plus qualifiés.
d11_intake_arrival_caption	Arrivée des Admissions
d11_intake_arrival_tooltip	L'heure standard d'admission d'un nouveau groupe de prisonniers à la prison est 8 heures du matin. Cette option vous permet de personnaliser cette heure pour répondre aux besoins de votre prison.
d11_intake_restrictions_caption	Retirer les restrictions d'admission
d11_intake_restrictions_tooltip	Les événements perturbants, comme les émeutes de prisonniers ou une grève du personnel, bloqueront normalement l'admission de prisonniers jusqu'au prochain jour disponible. Cette option permet d'envoyer des prisonniers dans votre prison en toutes circonstances, à condition qu'il y ait une zone de livraison disponible.
rapsheet_stint	Nombre d'incarcérations
reform_reward	Récompense Prisonniers réhabilités
help_warning_prisonerreleased	Les programmes de réhabilitation sont la clé d'une réinsertion réussie des détenus dans la société. Certains délinquants commenceront une nouvelle vie réussie, tandis que d'autres retomberont dans leurs mauvaises habitudes et récidiveront. Les prisonniers réhabilités vous apporteront une récompense en argent supplémentaire, mais certains prisonniers qui récidivent pourraient revenir dans votre prison. Non seulement vous devrez payer une amende pour l'échec de leur réinsertion, mais ils peuvent aussi avoir pris d'autres mauvaises habitudes pendant qu'ils étaient dehors.
finances_category_reformed	Détenus réhabilités
finances_category_reoffended	Amendes de récidive
finances_category_prisonerbonus	Bonus de subvention par détenu
d11_labour_management	Gestion des travailleurs
d11_LabourManagementDescription	Ce menu permet de contrôler les détenus autorisés à travailler ici, les temps de travail, ainsi que les options de déploiement rapide des gardes.
d11_HighestSecurityLevel	Niveau de sécurité le plus élevé
d11_LabourManagement_RegimeActivity_hint	Sélectionnez les créneaux de régime disponibles pendant lesquels les clients peuvent arriver, entre Travail, Temps libre ou les deux.
d11_LabourManagement_HighestSecurityLevel_hint	Le niveau de sécurité maximum des détenus autorisés à travailler ici, sans pouvoir outrepasser le secteur de sécurité où se trouve la pièce.
d11_LabourManagement_GuardDeployment_hint	Un moyen rapide d'assigner des gardes dans le secteur lorsque des civils sont présents.
d11_dollar_per_hour	$*X/ Heure
d11_incomplete	Incomplet
d11_restaurant_payment_desc	Commerce civil
finances_category_civilian_commerce	Commerce civil
d11_mealquality	Qualité des repas
policy_staff_keys	Autoriser les Clés au personnel
d11_report_policy_staffKeys_hint	Si cette option est activée, tous les membres du personnel engagés auront des clés sur eux. \nCette option, si elle est sélectionnée, améliorera l'efficacité au sein de la prison \nmais elle introduit également un risque de sécurité supplémentaire, avec un plus grand nombre de clés en circulation.
codex_new_uniformColour	Couleur Uniforme
codex_new_defaultColour	Couleur par défaut :
objectiveWindow_FilterButton_2_title	À propos des Deuxièmes chances
objectiveWindow_FilterButton_2_toolTip	Aide et informations sur le nouveau DLC Secondes Chances.
objective_WorkCredentials	Références professionnelles
objective_WorkCredentials_child_1	Références professionnelles préalables du détenu
objective_WorkCredentials_child_1_Description	Avant d'être emprisonnés, les détenus jusqu'au niveau Haute sécurité peuvent posséder une certaine expérience grâce à leurs occupations antérieures. Les détenus qui ont une formation dans un domaine particulier peuvent occuper un emploi correspondant à leur expérience, sans avoir besoin de suivre le programme de formation correspondant.
objective_WorkCredentials_child_2	Effet des titres de travail sur les prisonniers
objective_WorkCredentials_child_2_Description	L'obtention de certains titres professionnels confère des réputations et, si ce n'est déjà fait, permet de se passer de formations dans quelques cas. \n\nLes cuisiniers peuvent acquérir les réputations Habile bagarreur et Connecté et peuvent sauter la formation de sécurité en cuisine. \n\nLes nettoyeurs peuvent acquérir les réputations de Rapide et de Propre. \n\nLes artisans peuvent acquérir les réputations Mordu de travail et Habile bagarreur et peuvent passer la formation en atelier.\n\nLes ouvriers peuvent acquérir les réputations de Forts et Résistants. \n\nLes travailleurs en service à la clientèle peuvent acquérir les réputations d'Instigateur et de Prêcheur et peuvent passer la formation Emplois/Programmes sociaux.
objective_WorkExperience	Expérience professionnelle
objective_WorkExperience_child_2_Description	Il existe 3 façons pour les détenus d'acquérir une expérience professionnelle :\n\nProgrammes de formation - Les détenus qui suivent l'un des trois programmes de formation (Sécurité en atelier, Sécurité en cuisine ou Formation sur les Trois fautes) obtiendront 50 % de l'expérience requise dans leur domaine respectif (respectivement Cuisine, Artisanat ou Service à la clientèle). \n\nRéférences professionnelles préalables – Un détenu peut arriver en prison avec une expérience antérieure dans le domaine concerné. \n\nTravail carcéral – Tout détenu qui participe à des tâches de travail gagnera de l'expérience dans le domaine concerné.
objective_NewRooms	Nouvelles salles
objective_NewRooms_child_4_Description	La boulangerie donne aux prisonniers l'occasion de récupérer des types de contrebande nouveaux ou existants. Comme un nombre important de prisonniers et de civils sont présents, il y a un risque que les prisonniers deviennent violents dans certaines situations.
objective_NewRooms_child_8_Description	Le restaurant donne aux prisonniers l'occasion de collecter des types de contrebande nouveaux ou existants. Comme un nombre important de prisonniers et de civils sont présents, il y a un risque que les prisonniers deviennent violents dans certaines situations.
objective_ScaredStraight	Programme Trois fautes
objective_ScaredStraight_child_1	Former des détenus pour le programme
objective_ScaredStraight_child_2	Comment fonctionne le programme
objective_ScaredStraight_child_2_Description	Le programme invite les civils, qui en sont à leur dernier avertissement avec la loi, à venir en prison pour apprendre directement des détenus les réalités de la vie en prison. Les détenus et les civils formeront deux groupes au cours de la session. Les détenus s'approcheront à leur tour du groupe pour transmettre leurs connaissances et leurs histoires sur les raisons pour lesquelles la prison devrait être évitée.\n\nUn gardien veillera au bon déroulement des sessions de groupe.
objective_ScaredStraight_child_3	Avantages de réussite du programme
objective_ScaredStraight_child_3_Description	Les détenus recevront une petite hausse de leur taux de récidive et une hausse appropriée de leur expérience professionnelle s'ils terminent et réussissent le programme. En outre, les détenus verront également une réduction de leur point d'explosion, et recevront également un bonus pour leurs besoins de famille et/ou de liberté.
objective_BehaviouralPrograms	Nouveaux programmes comportementaux
objective_BehaviouralPrograms_child_1	Programme de zoothérapie
objective_BehaviouralPrograms_child_1_Description	La zoothérapie est similaire à d'autres programmes existants, mais apporte des avantages supplémentaires aux détenus qui réussissent le programme.\n\nLe programme est réparti sur plusieurs séances. Les détenus qui participent au programme et le réussissent verront leur taux de récidive diminuer, leur point d'explosion baisser, ils obtiendront un petit coup de pouce pour leurs besoins en matière de confort, de liberté et de luxe – ils auront même une chance d'éliminer toute réputation négative qu'ils pourraient avoir actuellement.
objective_BehaviouralPrograms_child_2	Programme de Résolution des conflits
objective_BehaviouralPrograms_child_3	Consultation avec d'anciens détenus
objective_SentenceReductions	Réduction et prolongation des peines
objective_SentenceReductions_child_1	Ajouter et réduire la durée des peines des détenus selon leur comportement
objective_ReleasedPrisoners	Prisonniers libérés
objective_ReleasedPrisoners_child_1	Récompenses et sanctions pour la Réhabilitation et la Récidive
objective_ReleasedPrisoners_child_1_Description	Les détenus libérés vont soit commencer une nouvelle vie, soit retomber dans leurs vieilles habitudes et retourner en prison. \n\nPour chaque prisonnier qui se réhabilite avec succès, une prime en espèces sera versée. \n\nPour chaque détenu qui récidive et retourne en prison, une amende sera infligée suite à l'échec de sa réhabilitation.
objective_ReleasedPrisoners_child_2	Prisonniers de retour
objective_LabourWages	Salaires du Travail carcéral
objective_LabourWages_child_1	Ajustement des salaires des travailleurs et ses effets
objective_PrisonerGrantBonus	Bonus de subvention par détenu
objective_PrisonerGrantBonus_child_1	Avantages d'un faible taux de récidive
objective_PrisonerGrantBonus_child_1_Description	Les prisons qui ont un programme de réhabilitation efficace verront leur faible taux de délinquance reconnu par une augmentation de la valeur payée par prisonnier chaque jour. Plus le taux est bas, plus la prime quotidienne est élevée.\nCe revenu supplémentaire se trouve dans le menu “Finances” sous le nom de “Bonus de subvention par détenu”.
